name,yomi,range,atk,def
ナグサ,なぐさ,750,振動,弾力装甲
ナツ,なつ,350,神秘,重装甲
ナツ（バンド）,なつ（ばんど）,550🛡,爆発,特殊装甲
ニコ,にこ,650,爆発,弾力装甲
ネル,ねる,450🛡,貫通,軽装備
ネル（バニーガール）,ねる（ばにーがーる）,450🛡,爆発,重装甲
ネル（制服）,ねる（せいふく）,550🛡,貫通,弾力装甲
ノア,のあ,550🛡,神秘,特殊装甲
ノア（パジャマ）,のあ（ぱじゃま）,550🛡,貫通,軽装備
ノゾミ,のぞみ,550🛡,振動,軽装備
ノノミ,ののみ,750,貫通,軽装備
ノノミ（水着）,ののみ（みずぎ）,750,爆発,特殊装甲
ハスミ,はすみ,750🛡,貫通,重装甲
ハスミ（水着）,はすみ（みずぎ）,750🛡,貫通,軽装備
ハスミ（体操服）,はすみ（たいそうふく）,850🛡,神秘,特殊装甲
ハナコ（水着）,はなこ（みずぎ）,650🛡,振動,重装甲
ハルカ,はるか,350,爆発,軽装備
ハルナ,はるな,750🛡,神秘,重装甲
ハルナ（正月）,はるな（しょうがつ）,750🛡,爆発,軽装備
ハレ（キャンプ）,はれ（きゃんぷ）,650🛡,爆発,軽装備
ヒカリ,ひかり,550🛡,振動,軽装備
ヒナ,ひな,750,爆発,重装甲
ヒナ（ドレス）,ひな（どれす）,ドヒナ属,爆発,弾力装甲
ヒナ（水着）,ひな（みずぎ）,750,爆発,重装甲
ヒナタ,ひなた,650🛡,神秘,重装甲
ヒビキ（応援団）,ひびき（おうえんだん）,850,爆発,軽装備
ヒフミ,ひふみ,650🛡,貫通,軽装備
ヒヨリ（水着）,ひより（みずぎ）,750🛡,貫通,重装甲
フィーナ,ふぃーな,750,貫通,軽装備
フブキ,ふぶき,750🛡,貫通,重装甲
フユ,ふゆ,550🛡,振動,特殊装甲
ホシノ,ほしの,350,貫通,重装甲
ホシノ（攻撃）,ほしの（こうげき）,650,神秘,重装甲
ホシノ（水着）,ほしの（みずぎ）,450,爆発,特殊装甲
ホシノ（防御）,ほしの（ぼうぎょ）,350,神秘,重装甲
マキ,まき,750,貫通,軽装備
マリー（アイドル）,まりー（あいどる）,550🛡,爆発,重装甲
マリー（体操服）,まりー（たいそうふく）,550🛡,神秘,特殊装甲
マリナ,まりな,350🛡,貫通,軽装備
マリナ（チーパオ）,まりな（ちーぱお）,550🛡,貫通,重装甲
ミカ,みか,450🛡,貫通,軽装備
ミカ（水着）,みか（みずぎ）,550🛡,振動,特殊装甲
ミサキ,みさき,850🛡,爆発,特殊装甲
ミチル,みちる,450,神秘,軽装備
ミドリ,みどり,750🛡,貫通,軽装備
ミドリ（メイド）,みどり（めいど）,750🛡,振動,軽装備
ミナ,みな,550🛡,爆発,重装甲
ミネ,みね,350,爆発,軽装備
ミネ（アイドル）,みね（あいどる）,350,爆発,重装甲
ミモリ,みもり,550🛡,神秘,軽装備
ミヤコ,みやこ,350🛡,貫通,重装甲
ミヤコ（水着）,みやこ（みずぎ）,350🛡,爆発,重装甲
ミユ,みゆ,750🛡,貫通,軽装備
ミヨ,みよ,750🛡,振動,弾力装甲
ムツキ,むつき,750,爆発,軽装備
ムツキ（正月）,むつき（しょうがつ）,750,神秘,重装甲
メグ,めぐ,450,爆発,特殊装甲
メル,める,550🛡,貫通,軽装備
モエ（水着）,もえ（みずぎ）,550🛡,振動,特殊装甲
モミジ,もみじ,850🛡,振動,重装甲
モモイ,ももい,650🛡,貫通,軽装備
モモイ（メイド）,ももい（めいど）,650🛡,振動,軽装備
ユウカ,ゆうか,350🛡,爆発,重装甲
ユウカ（パジャマ）,ゆうか（ぱじゃま）,450🛡,爆発,重装甲
ユウカ（体操服）,ゆうか（たいそうふく）,450🛡,神秘,特殊装甲
ユカリ,ゆかり,750,振動,重装甲
ユカリ（水着）,ゆかり（みずぎ）,750🛡,貫通,軽装備
ユズ,ゆず,650🛡,貫通,特殊装甲
ヨシミ（バンド）,よしみ（ばんど）,650🛡,爆発,特殊装甲
ラブ,らぶ,450,振動,特殊装甲
リオ（臨戦）,りお（りんせん）,550🛡,爆発,特殊装甲
ルミ,るみ,550🛡,爆発,重装甲
レイ,れい,850🛡,振動,軽装備
レイサ,れいさ,350,貫通,重装甲
レイジョ,れいじょ,650🛡,神秘,重装甲
レナ,れな,550🛡,爆発,軽装備
レンゲ,れんげ,750🛡,振動,重装甲
レンゲ（水着）,れんげ（みずぎ）,ドヒナ属,振動,特殊装甲
ワカモ,わかも,750🛡,神秘,軽装備
ワカモ（水着）,わかも（みずぎ）,750🛡,貫通,重装甲
ハルカ（ドレス）,はるか（どれす）,450,爆発,軽装備
ナグサ（水着）,なぐさ（みずぎ）,750,爆発,重装甲
キサキ（水着）,きさき（みずぎ）,550🛡,振動,弾力装甲
シュン（水着）,しゅん（みずぎ）,750🛡,振動,軽装備
シュエリン（水着）,しゅえりん（みずぎ）,シュン属,振動,軽装備
サツキ（水着）,さつき（みずぎ）,550🛡,振動,弾力装甲
マコト（水着）,まこと（みずぎ）,ドヒナ属,神秘,重装甲
イロハ（水着）,いろは（みずぎ）,650🛡,爆発,特殊装甲
御坂美琴,みさか みこと,650🛡,貫通,重装甲
食蜂操祈,しょくほう さいき,550🛡,爆発,重装甲
